date,open,high,low,close,volume
2017-10-31,40.25,41.01,39.84,40.95,1604250.0
2017-11-01,41.0,41.28,40.21,40.68,2684991.0
2017-11-02,41.14,41.6,40.49,41.35,3492307.0
2017-11-03,41.06,41.45,40.97,41.15,3003965.0
2017-11-06,41.2,42.48,40.86,41.48,6014082.0
2017-11-07,41.0,42.94,40.93,41.93,8298307.0
2017-11-09,39.96,40.35,39.6,40.16,3197727.0
2017-11-10,40.46,41.01,40.13,40.82,3956206.0
2017-11-13,40.53,40.65,39.9,40.44,3718369.0
2017-11-14,40.29,40.44,39.89,40.2,2603205.0
2017-11-15,40.09,40.705,39.78,40.26,3171527.0
2017-11-16,40.21,41.62,40.01,41.0,3627861.0
2017-11-17,41.14,42.19,41.14,41.66,4173107.0
2017-11-20,41.82,42.43,41.68,42.07,4211646.0
2017-11-21,42.24,42.28,41.07,41.25,1869950.0
2017-11-22,41.21,41.44,40.95,41.03,1016635.0
2017-11-24,41.05,41.26,40.82,40.86,795149.0
2017-11-27,40.99,41.16,40.46,40.59,1758954.0
2017-11-28,40.53,41.05,40.24,40.65,3381276.0
2017-11-29,40.84,42.13,40.82,41.51,2985000.0
2017-11-30,41.16,42.05,41.0,41.69,2785848.0
2017-12-01,41.73,41.82,41.03,41.54,2240954.0
2017-12-04,41.74,42.23,41.61,41.65,1852016.0
2017-12-05,42.36,42.62,41.375,41.65,2336315.0
2017-12-06,41.71,42.01,41.28,41.71,2638539.0
2017-12-07,41.46,42.37,41.125,41.98,3301646.0
2017-12-08,41.92,42.39,41.79,42.26,1931351.0
2017-12-11,42.2,42.43,41.185,41.39,2039764.0
2017-12-12,41.26,42.29,41.24,41.51,2398553.0
2017-12-13,41.51,42.41,41.49,42.27,2022108.0
2017-12-14,42.49,43.44,42.098,42.82,5293074.0
2017-12-15,43.23,43.31,42.69,42.83,4064370.0
2017-12-18,43.09,43.78,42.89,43.49,4921939.0
2017-12-19,43.62,43.7,43.18,43.48,1628149.0
2017-12-20,43.73,43.83,43.23,43.28,1581122.0
2017-12-21,44.23,44.67,43.61,44.27,2658153.0
2017-12-22,44.27,44.44,44.09,44.38,1837925.0
2017-12-26,44.52,44.99,44.425,44.95,1311649.0
2017-12-27,45.0,45.28,44.56,44.65,1513314.0
2017-12-28,44.9,45.0,44.03,44.34,1281649.0
2017-12-29,44.47,44.81,44.23,44.23,1103734.0
2018-01-02,44.37,45.29,44.3201,45.26,1884321.0
2018-01-03,45.34,45.56,45.12,45.27,2180456.0
2018-01-04,45.2,45.48,44.23,45.2,1946152.0
2018-01-05,45.29,45.7,45.14,45.41,1711486.0
2018-01-08,45.43,45.8,44.92,45.29,1896298.0
2018-01-09,45.27,45.745,45.13,45.35,2220009.0
2018-01-10,45.19,45.53,44.72,45.23,1968290.0
2018-01-11,45.2,45.62,45.03,45.52,1192872.0
2018-01-12,45.49,45.8,45.07,45.78,2325417.0
2018-01-16,45.75,46.17,45.7,45.9,2684610.0
2018-01-17,46.11,47.57,45.9,46.99,2411971.0
2018-01-18,46.96,47.42,46.79,47.31,2660652.0
2018-01-19,47.58,48.14,47.56,47.76,2553033.0
2018-01-22,47.67,47.92,47.3,47.51,2336028.0
2018-01-23,47.51,47.74,47.24,47.58,2543670.0
2018-01-24,47.73,48.56,47.43,47.54,1870946.0
2018-01-25,47.75,48.06,47.29,47.43,1893475.0
2018-01-26,47.67,47.96,47.28,47.74,1748870.0
2018-01-29,47.74,48.8,47.51,48.44,2333628.0
2018-01-30,47.98,48.45,47.628,47.85,2266119.0
2018-01-31,47.78,48.13,46.97,47.04,2904262.0
2018-02-01,46.75,47.69,46.11,46.96,2409216.0
2018-02-02,46.95,46.99,45.96,45.96,2705482.0
2018-02-05,45.89,46.5,44.97,44.97,3291265.0
2018-02-06,46.9,49.38,46.46,49.02,9364386.0
2018-02-07,48.93,50.71,48.93,50.1,7959034.0
2018-02-08,48.76,50.46,48.23,48.85,7907780.0
2018-02-09,49.12,49.45,47.42,49.06,5823159.0
2018-02-12,49.11,50.35,49.11,49.91,4759223.0
2018-02-13,49.91,50.25,49.65,50.14,2147835.0
2018-02-14,49.97,50.99,49.74,50.49,2588750.0
2018-02-15,50.5,50.83,50.17,50.63,2801068.0
2018-02-16,50.36,50.45,49.89,50.06,3154596.0
2018-02-20,49.79,49.94,49.23,49.41,2586729.0
2018-02-21,49.5,50.25,49.36,49.58,2174438.0
2018-02-22,49.66,49.99,49.52,49.77,1899900.0
2018-02-23,50.0,50.67,49.65,50.65,1694836.0
2018-02-26,50.77,51.2,50.71,51.16,2236673.0
2018-02-27,51.37,51.64,50.58,50.65,2375720.0
